Directory,FileName,Picture Date Time,GPS Latitude,GPS Longitude,GPS Latitude Ref,GPS Longitude Ref,GPS Altitude,GPS Altitude Ref,GPS Date Stamp,GPS Processing Method,GPS Timestamp,Aperture,Exposure Time,Flash,Image Length,Image Width,ISO,Make,Model,Orientation,White Balance
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030749.JPG","2017:01:15 13:09:54","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","1145/1","0","0000:00:00","GPS","0:0:0","3.3","0.0016","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030748.JPG","2017:01:15 13:09:51","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","1147/1","0","0000:00:00","GPS","0:0:0","3.3","0.0012","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030747.JPG","2017:01:15 13:09:44","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","1149/1","0","0000:00:00","GPS","0:0:0","3.3","0.0010","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030766.JPG","2017:01:15 16:44:36","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","620/1","0","0000:00:00","GPS","0:0:0","3.3","0.0010","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030767.JPG","2017:01:15 16:44:38","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","618/1","0","0000:00:00","GPS","0:0:0","3.3","0.0012","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030938.JPG","2017:01:20 15:09:22","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","343/1","0","0000:00:00","GPS","0:0:0","3.3","0.017","16","768","1024","160","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030939.JPG","2017:01:20 15:09:24","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","342/1","0","0000:00:00","GPS","0:0:0","3.3","0.0080","16","768","1024","320","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030940.JPG","2017:01:20 15:14:40","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","355/1","0","0000:00:00","GPS","0:0:0","10.0","0.0050","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030942.JPG","2017:01:20 15:16:26","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","353/1","0","0000:00:00","GPS","0:0:0","3.3","0.0008","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030941.JPG","2017:01:20 15:14:44","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","353/1","0","0000:00:00","GPS","0:0:0","10.0","0.0050","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030958.JPG","2017:01:20 15:57:52","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","381/1","0","0000:00:00","GPS","0:0:0","3.3","0.0040","16","768","1024","160","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030957.JPG","2017:01:20 15:57:44","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","385/1","0","0000:00:00","GPS","0:0:0","3.3","0.0100","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030956.JPG","2017:01:20 15:57:36","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","388/1","0","0000:00:00","GPS","0:0:0","3.3","0.0040","16","768","1024","160","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030944.JPG","2017:01:20 15:16:32","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","351/1","0","0000:00:00","GPS","0:0:0","3.3","0.0010","16","1024","768","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1030943.JPG","2017:01:20 15:16:28","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","351/1","0","0000:00:00","GPS","0:0:0","3.3","0.0010","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1040084.JPG","2017:02:06 10:53:10","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","8/1","0","0000:00:00","GPS","0:0:0","3.3","0.017","16","768","1024","250","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small","P1040083.JPG","2017:02:06 10:53:04","16777215/1,16777215/1,16777215/100","16777215/1,16777215/1,16777215/100","N","E","10/1","0","0000:00:00","GPS","0:0:0","3.3","0.020","16","1024","768","400","Panasonic","DMC-FT5","1","0"
