Directory,FileName,Picture Date Time,GPS Latitude,GPS Longitude,GPS Latitude Ref,GPS Longitude Ref,GPS Altitude,GPS Altitude Ref,GPS Date Stamp,GPS Processing Method,GPS Timestamp,Aperture,Exposure Time,Flash,Image Length,Image Width,ISO,Make,Model,Orientation,White Balance
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030058.JPG","2016:12:02 14:19:52","54/1,47/1,2775/100","68/1,23/1,2350/100","S","W","630/1","0","2016:12:02","GPS","17:19:7","3.3","0.013","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030059.JPG","2016:12:02 14:21:00","54/1,47/1,2838/100","68/1,23/1,2238/100","S","W","632/1","0","2016:12:07","GPS","14:20:55","3.3","0.0040","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030061.JPG","2016:12:02 14:21:18","54/1,47/1,2838/100","68/1,23/1,2238/100","S","W","626/1","0","2016:12:02","GPS","17:20:19","3.3","0.0031","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020428.JPG","2016:09:07 14:42:55","34/1,32/1,69519/1250","58/1,27/1,8631/500","S","W","","","2016:09:07","GPS","17:42:55","3.3","0.0100","24","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020626.JPG","2016:10:25 10:11:51","40/1,19/1,51191/1234","62/1,45/1,27351/500","S","W","24344/1355","0","2016:10:25","GPS","13:11:51","3.3","0.017","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020430.JPG","2016:09:07 14:44:36","34/1,32/1,69519/1250","58/1,27/1,8631/500","S","W","","","2016:09:07","GPS","17:44:36","3.3","0.017","24","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020434.JPG","2016:09:08 16:48:04","33/1,44/1,119390/15863","58/1,51/1,62593/2719","S","W","14045/2062","0","2016:09:08","GPS","19:48:4","3.3","0.0012","24","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1020435.JPG","2016:09:08 16:48:15","33/1,44/1,27736/3683","58/1,51/1,32149/1397","S","W","37461/5561","0","2016:09:08","GPS","19:48:15","3.3","0.0016","24","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030077.JPG","2016:12:02 14:51:15","54/1,47/1,2914/100","68/1,22/1,3547/100","S","W","678/1","0","2016:12:07","GPS","14:51:12","3.3","0.0100","16","768","1024","100","Panasonic","DMC-FT5","1","0"
"/storage/emulated/0/latinamerica.bike/images/plants/small/gps","P1030078.JPG","2016:12:02 14:51:18","54/1,47/1,2928/100","68/1,22/1,3558/100","S","W","678/1","0","2016:12:02","GPS","17:50:33","3.3","0.013","16","768","1024","100","Panasonic","DMC-FT5","1","0"
